Time,Channel B
(ms),(V)

63.73375961,93.46294000
63.77471961,98.01019000
63.81567961,98.01019000
63.85663961,102.55750000
63.89759961,107.12000000
63.93855961,107.12000000
63.97951961,111.66720000
64.02047961,111.66720000
64.06143961,116.21450000
64.10239961,116.21450000
64.14335961,120.77700000
64.18431961,125.32430000
64.22527961,125.32430000
64.26623961,125.32430000
64.30719961,129.87150000
64.34815961,129.87150000
64.38911961,129.87150000
64.43007961,134.43400000
64.47103961,134.43400000
64.51199961,138.98130000
64.55295961,143.54380000
64.59391961,143.54380000
64.63487961,143.54380000
64.67583961,148.09110000
64.71679961,148.09110000
64.75775961,152.63830000
64.79871961,152.63830000
64.83967961,152.63830000
64.88063961,157.20080000
64.92159961,157.20080000
64.96255961,161.74810000
65.00351960,161.74810000
65.04447960,166.29540000
65.08543960,166.29540000
65.12639960,166.29540000
65.16735960,166.29540000
65.20831960,170.85790000
65.24927960,170.85790000
65.29023960,170.85790000
65.33119960,175.40510000
65.37215960,175.40510000
65.41311960,179.95240000
65.45407960,179.95240000
65.49503960,179.95240000
65.53599960,184.51490000
65.57695960,184.51490000
65.61791960,184.51490000
65.65887960,184.51490000
65.69983960,189.06220000
65.74079960,189.06220000
65.78175960,189.06220000
65.82271960,189.06220000
65.86367960,193.62470000
65.90463960,193.62470000
65.94559960,193.62470000
65.98655960,193.62470000
66.02751960,198.17190000
66.06847960,198.17190000
66.10943960,198.17190000
66.15039960,202.71920000
66.19135960,202.71920000
66.23231960,202.71920000
66.27327960,202.71920000
66.31423960,202.71920000
66.35519960,207.28170000
66.39615960,207.28170000
66.43711960,207.28170000
66.47807960,207.28170000
66.51903960,207.28170000
66.55999960,207.28170000
66.60095960,211.82900000
66.64191959,211.82900000
66.68287959,211.82900000
66.72383959,211.82900000
66.76479959,211.82900000
66.80575959,216.37620000
66.84671959,211.82900000
66.88767959,216.37620000
66.92863959,216.37620000
66.96959959,216.37620000
67.01055959,216.37620000
67.05151959,216.37620000
67.09247959,216.37620000
67.13343959,216.37620000
67.17439959,216.37620000
67.21535959,216.37620000
67.25631959,216.37620000
67.29727959,216.37620000
67.33823959,216.37620000
67.37919959,216.37620000
67.42015959,216.37620000
67.46111959,216.37620000
67.50207959,216.37620000
67.54303959,216.37620000
67.58399959,216.37620000
67.62495959,216.37620000
67.66591959,216.37620000
67.70687959,216.37620000
67.74783959,216.37620000
67.78879959,211.82900000
67.82975959,211.82900000
67.87071959,211.82900000
67.91167959,211.82900000
67.95263959,211.82900000
67.99359959,211.82900000
68.03455959,211.82900000
68.07551959,211.82900000
68.11647959,211.82900000
68.15743959,207.28170000
68.19839959,207.28170000
68.23935959,207.28170000
68.28031959,207.28170000
68.32127958,207.28170000
68.36223958,202.71920000
68.40319958,202.71920000
68.44415958,202.71920000
68.48511958,202.71920000
68.52607958,202.71920000
68.56703958,202.71920000
68.60799958,202.71920000
68.64895958,198.17190000
68.68991958,198.17190000
68.73087958,198.17190000
68.77183958,193.62470000
68.81279958,193.62470000
68.85375958,189.06220000
68.89471958,193.62470000
68.93567958,189.06220000
68.97663958,189.06220000
69.01759958,189.06220000
69.05855958,184.51490000
69.09951958,184.51490000
69.14047958,184.51490000
69.18143958,179.95240000
69.22239958,179.95240000
69.26335958,175.40510000
69.30431958,175.40510000
69.34527958,175.40510000
69.38623958,170.85790000
69.42719958,170.85790000
69.46815958,166.29540000
69.50911958,161.74810000
69.55007958,161.74810000
69.59103958,161.74810000
69.63199958,161.74810000
69.67295958,157.20080000
69.71391958,152.63830000
69.75487958,152.63830000
69.79583958,152.63830000
69.83679958,148.09110000
69.87775958,148.09110000
69.91871958,143.54380000
69.95967957,143.54380000
70.00063957,143.54380000
70.04159957,138.98130000
70.08255957,134.43400000
70.12351957,134.43400000
70.16447957,134.43400000
70.20543957,129.87150000
70.24639957,125.32430000
70.28735957,125.32430000
70.32831957,125.32430000
70.36927957,120.77700000
70.41023957,116.21450000
70.45119957,116.21450000
70.49215957,111.66720000
70.53311957,111.66720000
70.57407957,107.12000000
70.61503957,107.12000000
70.65599957,102.55750000
70.69695957,98.01019000
70.73791957,98.01019000
70.77887957,93.46294000
70.81983957,93.46294000
70.86079957,88.90041000
70.90175957,88.90041000
70.94271957,84.35316000
70.98367957,84.35316000
71.02463957,84.35316000
71.06559957,75.24339000
71.10655957,75.24339000
71.14751957,70.69613000
71.18847957,70.69613000
71.22943957,66.13361000
71.27039957,66.13361000
71.31135957,61.58635000
71.35231957,57.03909000
71.39327957,57.03909000
71.43423957,57.03909000
71.47519957,52.47658000
71.51615957,52.47658000
71.55711957,47.92932000
71.59807956,43.38206000
71.63903956,43.38206000
71.67999956,38.81955000
71.72095956,38.81955000
71.76191956,34.27229000
71.80287956,34.27229000
71.84383956,29.72503000
71.88479956,29.72503000
71.92575956,25.16251000
71.96671956,25.16251000
72.00767956,20.61525000
72.04863956,16.06800000
72.08959956,16.06800000
72.13055956,16.06800000
72.17151956,11.52074000
72.21247956,11.52074000
72.25343956,6.97348000
72.29439956,2.41096200
72.33535956,2.41096200
72.37631956,-2.13629600
72.41727956,-2.13629600
72.45823956,-6.68355400
72.49919956,-6.68355400
72.54015956,-6.68355400
72.58111956,-6.68355400
72.62207956,-6.68355400
72.66303956,-6.68355400
72.70399956,-6.68355400
72.74495956,-6.68355400
72.78591956,-6.68355400
72.82687956,-6.68355400
72.86783956,-29.45036000
72.90879956,-33.99762000
72.94975956,-38.56014000
72.99071956,-38.56014000
73.03167956,-43.10740000
73.07263956,-47.66991000
73.11359956,-52.21717000
73.15455956,-52.21717000
73.19551956,-56.76443000
73.23647955,-56.76443000
73.27743955,-65.87420000
73.31839955,-65.87420000
73.35935955,-70.42146000
